vowel_stress_word,uni_prob,bi_prob_smoothed,response,exp,condition
xuˈtʃe,-18.376822155115462,-16.51810439179132,0.06705274462490665,bi_contrast,high
ˈrotʃo,-16.83696749648748,-14.583922945925371,0.6475730995369373,bi_contrast,high
ˈxudo,-15.460516994769796,-12.812736368177353,0.9419717142503226,bi_contrast,high
fuˈpo,-16.6488261394209,-14.317005882283054,0.025504185487729703,bi_contrast,high
reˈxe,-15.112141006442,-12.386667956782096,0.2268791502508474,bi_contrast,high
ˈfiga,-15.242462391452849,-12.637946204711016,0.38669719324305807,bi_contrast,high
fiˈko,-15.412459193151918,-12.884797923951613,0.7190965289973473,bi_contrast,high
ˈtʃoxo,-17.132598082761955,-15.191937936614796,0.22088151259078523,bi_contrast,high
ˈguxo,-16.64059498204842,-14.555927803522415,0.1873309522555299,bi_contrast,high
ˈrono,-13.844594994816829,-10.972907874619406,0.6543628589110828,bi_contrast,high
ˈxado,-13.526800362448745,-10.552119965626396,0.5371379133795852,bi_contrast,high
ˈtʃetʃo,-17.681354944349724,-15.976184443988457,0.32020443677429017,bi_contrast,high
ˈpado,-12.371488396588024,-9.134457109391064,0.9986268691253595,bi_contrast,high
ˈfetʃo,-16.615515144628144,-14.689444133342256,0.8380485200888692,bi_contrast,high
ˈfuba,-15.633917223999266,-13.35482391631992,-0.08922138130229469,bi_contrast,high
xuˈjo,-16.71163435159797,-14.82815987135803,-0.11400685349568637,bi_contrast,high
ˈxulo,-15.650595539392322,-13.591209136973164,0.4970799905675009,bi_contrast,high
puˈtʃu,-18.71925868660639,-17.55358072898801,-0.09811504580997892,bi_contrast,high
reˈro,-15.309666170055255,-13.142385919684031,-0.160307085656508,bi_contrast,high
ˈfula,-15.432914798562267,-13.338815463821446,0.3326921559269092,bi_contrast,high
fuˈdo,-16.169376881301048,-14.32311018876686,0.46482941936904565,bi_contrast,high
ˈtʃuko,-16.699018590530255,-15.05524701292974,0.6906950516748691,bi_contrast,high
ˈfado,-13.502873174202664,-10.885613051177035,0.6394483701705936,bi_contrast,high
xuˈxo,-17.828065293527697,-16.54737144443708,0.027265533181946192,bi_contrast,high
ˈride,-13.79467643004755,-11.2884044989755,-0.03619138334056521,bi_contrast,high
ˈfuɾo,-14.884452932540116,-12.779339843483031,0.48673598944593804,bi_contrast,high
