word,bucket_q,uni_prob,bi_prob_smoothed
p i r1 u1,uni1-bi1,-17.52613860667933,-20.2925608598542
f i l1 o1,uni2-bi4,-16.78992877099398,-14.17894956578898
d1 e1 t͡ʃ o,uni2-bi4,-16.817835100160867,-13.557072748695235
f i k1 o1,uni2-bi4,-16.867606852358804,-12.968957354402797
k1 u1 x e,uni2-bi4,-16.870184303710925,-12.229916641880829
f1 u1 d o,uni2-bi4,-16.394661260503593,-11.900927733466755
k u d1 o1,uni2-bi4,-16.131353985619185,-11.67387265373248
m1 u1 g a,uni2-bi4,-16.578949559161615,-14.179373255415168
m1 a1 t͡ʃ a,uni2-bi4,-16.557415915773976,-13.551968165687478
f1 u1 b a,uni2-bi4,-16.668656623412687,-12.924536658343827
p1 o1 x a,uni2-bi4,-16.572924733162512,-12.399438486864604
r e x1 e1,uni2-bi4,-16.22868226923184,-11.861652915873824
t͡ʃ1 a1 d o,uni2-bi4,-15.738675672197516,-10.71105392080966
f1 u1 l a,uni2-bi4,-16.395065906721413,-14.176389466402512
x1 a1 x e,uni2-bi4,-16.38176441939405,-13.577926322819032
b1 o1 x e,uni2-bi4,-16.285993061031814,-12.905960279477338
t1 a1 ɲ a,uni2-bi4,-16.453304103618503,-12.305249571146035
f1 i1 g a,uni2-bi4,-16.39063177112091,-12.163324687308076
r1 o1 ɾ o,uni2-bi4,-15.810369920964874,-11.881392468974749
t͡ʃ1 o1 n e,uni2-bi4,-16.185671513592713,-14.20900846436747
l1 o1 x e,uni2-bi4,-16.227033354921282,-13.574372865957994
x1 u1 d o,uni2-bi4,-16.22006174980355,-12.9315088189535
f1 u1 ɾ o,uni2-bi4,-16.22322938788132,-12.31533596107746
g1 u1 d o,uni2-bi4,-15.876783637560203,-12.01665539239979
m1 e1 x e,uni2-bi4,-15.936808604485533,-12.110531646014078
f1 a1 r e,uni2-bi4,-15.97363055508398,-14.199606373628123
f i k1 a1,uni2-bi4,-15.938476437921612,-13.565489781903258
t͡ʃ1 a1 b e,uni2-bi4,-16.017602626188093,-12.985564931952885
p1 o1 r e,uni2-bi4,-15.995122949233886,-12.374457731397747
f1 u1 ɾ a,uni2-bi4,-16.029555934652965,-12.176094576058617
r1 o1 n o,uni2-bi4,-15.688409082692022,-12.151796072256143
i1 e1 t͡ʃ o,uni2-bi4,-15.734836324344457,-14.160327558376506
t͡ʃ1 a1 l a,uni2-bi4,-15.739080318415336,-13.57671018867466
r1 e1 b a,uni2-bi4,-15.756317966906945,-12.950986388106784
b1 e1 x e,uni2-bi4,-15.78651387144252,-12.32152270974898
k u d1 e1,uni2-bi4,-15.631874796029894,-12.15822420454829
n e t1 u1,uni4-bi2,-14.123848884770949,-18.725505768090116
n a t1 u1,uni4-bi2,-14.118917293689467,-18.3418801562709
n i k1 i1,uni4-bi2,-14.208726390100528,-17.922151662618436
d1 e1 n i,uni4-bi2,-14.149969535682937,-17.53987090810651
u i s1 a1,uni4-bi2,-14.151682453331528,-17.092766456725666
k e p1 i1,uni4-bi2,-14.154976961500502,-16.68380073198318
m a u1 a1,uni4-bi2,-13.675766885847532,-18.72913775092351
t o ɾ1 u1,uni4-bi2,-13.693144625831678,-18.354642570600035
n e k1 e1,uni4-bi2,-13.6667917222023,-17.454653603044868
u i ɾ1 a1,uni4-bi2,-13.627917647194336,-17.10392675492873
i o k1 i1,uni4-bi2,-13.637080654860316,-16.720657814589547
s o u1 e1,uni4-bi2,-13.231727680320722,-18.80759401794756
n1 o1 i e,uni4-bi2,-13.210259229188903,-18.413047990278503
i1 a1 m i,uni4-bi2,-13.157681087813128,-17.89841098584298
n1 e1 k e,uni4-bi2,-13.144273320428775,-17.53405569587104
n1 a1 ɾ i,uni4-bi2,-13.163477250411642,-17.141366820720304
d1 a1 s i,uni4-bi2,-13.17331598002647,-16.626217034522888
